"Reference","Value","Datasheet","Footprint","Qty","DNP"
"Battery1","LiPo (3.7V, 550mAh)","~","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"BMP280","BMP280","https://ae-bst.resource.bosch.com/media/_tech/media/datasheets/BST-BMP280-DS001.pdf","Footprints:BMP280","1",""
"BZ1","Buzzer","~","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"Diode1","1N4007","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"ESP32-CAM1","ESP32-CAM","","Footprints:ESP32-CAM","1",""
"Pull-Down1","100k","~","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","1",""
"Q1","BC337","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bc337.pdf","Package_TO_SOT_THT:TO-92_Inline","1",""
"RF96LoRa1","UART,868MHz","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","1",""
"S7V8A1,XL6009","~","","-- valeurs mixées --","2",""
"SW1","SW_DIP_x02","~","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","1",""
